sample_id,filename,actual_condition_id,actual_condition,predicted_condition_id,predicted_condition,confidence,is_correct
b5e6efc0-d83e76ab.jpg,b5e6efc0-d83e76ab.jpg,4,dawn_dusk,4,dawn_dusk,0.9581339359283447,True
b9b16444-2929cf9e.jpg,b9b16444-2929cf9e.jpg,1,rain,1,rain,0.9675962924957275,True
bb5cc516-eb91e8c8.jpg,bb5cc516-eb91e8c8.jpg,1,rain,1,rain,0.9978740215301514,True
b3f59b98-e7f870e2.jpg,b3f59b98-e7f870e2.jpg,4,dawn_dusk,1,rain,0.4125264286994934,False
b3931c96-5417a573.jpg,b3931c96-5417a573.jpg,4,dawn_dusk,1,rain,0.5343866348266602,False
b9fc97df-9b839325.jpg,b9fc97df-9b839325.jpg,1,rain,4,dawn_dusk,0.8623224496841431,False
b7fd2c7d-1c250dfc.jpg,b7fd2c7d-1c250dfc.jpg,1,rain,1,rain,0.9689695835113525,True
b3a4cbbb-b67444d7.jpg,b3a4cbbb-b67444d7.jpg,4,dawn_dusk,4,dawn_dusk,0.9366919994354248,True
b2ff6aba-fa4ac7d7.jpg,b2ff6aba-fa4ac7d7.jpg,3,night,3,night,0.9773369431495667,True
b21547c1-796757ac.jpg,b21547c1-796757ac.jpg,3,night,3,night,0.7301405668258667,True
b3e72283-d9fc39b0.jpg,b3e72283-d9fc39b0.jpg,1,rain,3,night,0.5487684011459351,False
b5f84825-4e6d3b68.jpg,b5f84825-4e6d3b68.jpg,4,dawn_dusk,0,clear,0.7206431031227112,False
b1d7b3ac-995f9d8a.jpg,b1d7b3ac-995f9d8a.jpg,0,clear,0,clear,0.993126392364502,True
b3c21bae-260d0b00.jpg,b3c21bae-260d0b00.jpg,3,night,3,night,0.510176956653595,True
b3c0357a-10fef986.jpg,b3c0357a-10fef986.jpg,0,clear,0,clear,0.47415027022361755,True
b34b1b88-0f326921.jpg,b34b1b88-0f326921.jpg,3,night,3,night,0.9589735865592957,True
b5fe17dd-84fab99d.jpg,b5fe17dd-84fab99d.jpg,1,rain,0,clear,0.955951452255249,False
b2a4738f-1c4a1373.jpg,b2a4738f-1c4a1373.jpg,0,clear,0,clear,0.8889589905738831,True
b3158519-23c9c58d.jpg,b3158519-23c9c58d.jpg,0,clear,0,clear,0.5350279211997986,True
b5345bb2-a1424882.jpg,b5345bb2-a1424882.jpg,1,rain,1,rain,0.9969430565834045,True
b26aafd1-1bc4dccc.jpg,b26aafd1-1bc4dccc.jpg,1,rain,1,rain,0.9910367727279663,True
b2b74321-f6578001.jpg,b2b74321-f6578001.jpg,4,dawn_dusk,0,clear,0.9259048104286194,False
b245e52e-0a0e4e69.jpg,b245e52e-0a0e4e69.jpg,0,clear,0,clear,0.9862165451049805,True
bbc06e30-d687d6f0.jpg,bbc06e30-d687d6f0.jpg,1,rain,3,night,0.9774842858314514,False
b2d4c878-2267ca6d.jpg,b2d4c878-2267ca6d.jpg,3,night,3,night,0.9979901313781738,True
b674bc13-dceb1013.jpg,b674bc13-dceb1013.jpg,1,rain,3,night,0.7922105193138123,False
b20b69d2-e31380a7.jpg,b20b69d2-e31380a7.jpg,0,clear,0,clear,0.9304925203323364,True
b29f09ea-ecd5304b.jpg,b29f09ea-ecd5304b.jpg,3,night,3,night,0.9962804913520813,True
b2a60634-0817a6eb.jpg,b2a60634-0817a6eb.jpg,3,night,3,night,0.9754339456558228,True
b3ce9f98-97451163.jpg,b3ce9f98-97451163.jpg,3,night,3,night,0.8730579614639282,True
b3363496-9d8e32e7.jpg,b3363496-9d8e32e7.jpg,3,night,3,night,0.981086015701294,True
b557283b-705f9d96.jpg,b557283b-705f9d96.jpg,4,dawn_dusk,4,dawn_dusk,0.989404559135437,True
b1ebfc3c-740ec84a.jpg,b1ebfc3c-740ec84a.jpg,3,night,3,night,0.9822192192077637,True
b714a088-e91ac24f.jpg,b714a088-e91ac24f.jpg,4,dawn_dusk,4,dawn_dusk,0.6240479350090027,True
b2ae0446-4b0bfda7.jpg,b2ae0446-4b0bfda7.jpg,4,dawn_dusk,0,clear,0.9687918424606323,False
b7d875e8-35d6222a.jpg,b7d875e8-35d6222a.jpg,1,rain,1,rain,0.42245176434516907,True
b23a79d1-43dfeecd.jpg,b23a79d1-43dfeecd.jpg,3,night,3,night,0.9065009355545044,True
b4599849-8379f0de.jpg,b4599849-8379f0de.jpg,4,dawn_dusk,0,clear,0.8068733811378479,False
b364b881-5dd3ec28.jpg,b364b881-5dd3ec28.jpg,3,night,2,fog,0.43901461362838745,False
b699c424-44ce61e2.jpg,b699c424-44ce61e2.jpg,4,dawn_dusk,4,dawn_dusk,0.4046748876571655,True
b2c7d048-fdd059eb.jpg,b2c7d048-fdd059eb.jpg,3,night,3,night,0.7995787858963013,True
b2c9b221-d447dcc3.jpg,b2c9b221-d447dcc3.jpg,3,night,4,dawn_dusk,0.838870644569397,False
b2939bf0-221e1dfb.jpg,b2939bf0-221e1dfb.jpg,1,rain,1,rain,0.7912790775299072,True
b3154d05-8bc595ba.jpg,b3154d05-8bc595ba.jpg,0,clear,0,clear,0.94596266746521,True
b3b2ffbe-cd80cda8.jpg,b3b2ffbe-cd80cda8.jpg,0,clear,0,clear,0.9026526212692261,True
b2d83b7b-9627ff87.jpg,b2d83b7b-9627ff87.jpg,1,rain,1,rain,0.5955315232276917,True
b3dd5345-15bbf8ed.jpg,b3dd5345-15bbf8ed.jpg,1,rain,1,rain,0.4968138337135315,True
b610c819-6f782f77.jpg,b610c819-6f782f77.jpg,4,dawn_dusk,4,dawn_dusk,0.8849489688873291,True
